,Word,Root_Word,Predicted_Root
0,ी,ी,ी
1,सहयोगी,सहयोग,सहयो
2,जिनकी,जिन,जिनक
3,विपक्ष्ाी,विपक्ष,विपक्ष्ा
4,हिरासती,हिरासत,हिरास
5,पाकिस्तानी,पाकिस्तान,पाकिस्ता
6,गलती,गलत,गल
7,सकेगी,सके,सक
8,हमारी,हम,हमार
9,फलस्तीनी,फलस्तीन,फलस्ती
10,गुमश्दाुगी,गुमश्दा,गुमश्दाु
11,देगी,दे,द
12,करेंगी,कर,करें
13,मेरी,मैं,मेर
14,बरती,बरत,बर
15,जिसकी,जो,जिसक
16,मानी,मान,मा
17,जाएँगी,जा,जाएँ
18,लकड़ी,लकडी,लकड़
19,बढ़ती,बढ,बढ़
20,भड़की,भडक,भड़क
21,बड़ी,बडा,बड़
22,जिनकी,जो,जिनक
23,निभाएँगी,निभा,निभाएँ
24,सुनी,सुन,सु
25,अभी,अब,अभ
26,बढ़ोतरी,बढोतरी,बढ़ोतर
27,लगी,लग,ल
28,करूँगी,कर,करूँ
29,दिल्‍ली,दिल्ली,दिल्‍ल
30,पहाड़ी,पहाडी,पहाड़
31,किसी,कोई,किस
32,आपकी,आप,आपक
33,मिलेंगी,मिल,मिलें
34,रहेंगी,रह,रहें
35,लेगी,ले,ल
36,तक़नीकी,तकनीकी,तक़नीक
37,मांगी,मांग,मां
38,हमारी,हम,हमार
39,बनी,बन,ब
40,होंगी,हो,हों
41,सभी,सब,सभ
42,मज़हबी,मजहबी,मज़हब
43,फ़र्जी,फर्जी,फ़र्ज
44,पिलायी,पिला,पिलाय
45,होनेवाली,हो,होनेवाल
46,बढ़ेगी,बढ,बढ़
47,कढ़ी,कढ,कढ़
48,बाक़ी,बाकी,बाक़
49,नज़दीकी,नजदीकी,नज़दीक
50,जतायी,जता,जताय
51,खाड़ी,खाडी,खाड़
52,तड़पती,तडप,तड़प
53,संभालेंगी,संभाल,संभालें
54,जानी,जान,जा
55,देगी,दे,द
56,बिगड़ती,बिगड,बिगड़
57,घटेंगी,घट,घटें
58,बतायी,बता,बताय
59,करेंगी,कर,करें
60,राज़ी,राजी,राज़
61,मेरी,मैं,मेर
62,बीती,बीत,बी
63,पड़ी,पड,पड़
64,बरती,बरत,बर
65,माँगी,माँग,माँ
66,पहुँची,पहुंच,पहुँच
67,बड़ी,बडी,बड़
68,आज़ादी,आजादी,आज़ाद
69,कड़ी,कडा,कड़
70,थोड़ी,थोडी,थोड़
71,घड़ी,घडी,घड़
72,पहुंचेंगी,पहुंच,पहुंचें
73,जिसकी,जो,जिसक
74,बंधी,बँध,बंध
75,नक़वी,नकवी,नक़व
76,पायी,पा,पाय
77,अच्‍छी,अच्छा,अच्‍छ
78,पहचानी,पहचान,पहचा
79,ज़िम्मेदारी,जिम्मेदारी,ज़िम्मेदार
80,चलायी,चला,चलाय
81,पगड़ी,पगडी,पगड़
82,मानी,मान,मा
83,लक्ष्‍मी,लक्ष्मी,लक्ष्‍म
84,माँगी,मांग,माँ
85,पकौड़ी,पकौडी,पकौड़
86,एड़ी,एडी,एड़
87,लकड़ी,लकडी,लकड़
88,गड़ी,गड,गड़
89,बढ़ती,बढ,बढ़
90,पिछड़ी,पिछडा,पिछड़
91,बढ़ी,बढ,बढ़
92,गवांनी,गवाँ,गवां
93,पिछड़ी,पिछड,पिछड़
94,लगवाती,लग,लगवा
95,ख़ाली,खाली,ख़ाल
96,खुलेंगी,खुल,खुलें
97,हाज़ी,हाजी,हाज़
98,नक़दी,नकदी,नक़द
99,पड़ती,पड,पड़
100,कागज़ी,कागजी,कागज़
101,करायी,करा,कराय
102,क़रीबी,करीबी,क़रीब
103,ज़ख्मी,जख्मी,ज़ख्म
104,साड़ी,साडी,साड़
105,बड़ी,बडा,बड़
106,उड़ेंगी,उड़,उड़ें
107,जिनकी,जो,जिनक
108,छीनी,छीन,छी
109,गिरफ़्तारी,गिरफ्तारी,गिरफ़्तार
110,जायेंगी,जा,जायें
111,लेंगी,ले,लें
112,लम्बी,लंबा,लम्ब
113,दूंगी,दे,द
114,पीढ़ी,पीढी,पीढ़
115,उठायी,उठा,उठाय
116,लड़ेगी,लड,लड़
117,थोड़ी,थोडा,थोड़
118,सुनी,सुन,सु
119,उधेड़ी,उधेड,उधेड़
120,अभी,अब,अभ
121,सकेंगी,सक,सकें
122,खिलाड़ी,खिलाडी,खिलाड़
123,फंसी,फँस,फंस
124,टुकड़ी,टुकडी,टुकड़
125,गाड़ी,गाडी,गाड़
126,ज़ब्ती,जब्ती,ज़ब्
127,पड़ोसी,पडोसी,पड़ोस
128,बाड़ी,बाडी,बाड़
129,जीती,जीत,जी
130,माफ़ी,माफी,माफ़
131,करुंगी,कर,करुं
132,उत्तरपूर्वी,उभरपूर्वी,उत्तरपूर्व
133,बढ़ोतरी,बढोतरी,बढ़ोतर
134,आंगनबाड़ी,आंगनबाडी,आंगनबाड़
135,दौड़ती,दौड,दौड़
136,छोड़ी,छोड,छोड़
137,शताब्‍दी,शताब्दी,शताब्‍द
138,ज़रूरी,जरूरी,ज़रूर
139,लगी,लग,ल
140,पहनी,पहन,पह
141,कड़ी,कडी,कड़
142,पहाड़ी,पहाडी,पहाड़
143,किसी,कोई,किस
144,आपकी,आप,आपक
145,तकनीक़ी,तकनीकी,तकनीक़
146,तभी,तब,तभ
147,छिड़ी,छिड,छिड़
148,नाराज़गी,नाराजगी,नाराज़
149,मिलेंगी,मिल,मिलें
150,सबकी,सब,सबक
151,देखेंगी,देख,देखें
152,रहेंगी,रह,रहें
153,शिवजी,शिव,शिवज
154,लेगी,ले,ल
155,टकरायी,टकरा,टकराय
156,देंगी,दे,दें
157,पहनेंगी,पहन,पहनें
158,तेज़ी,तेजी,तेज़
159,पकड़ती,पकड,पकड़
160,तक़नीकी,तकनीकी,तक़नीक
161,काफ़ी,काफी,काफ़
162,मांगी,मांग,मां
163,क़ाफ़ी,काफी,क़ाफ़
164,पूर्ववर्ती,पूर्ववती,पूर्ववर्
165,सभी,से,सभ
166,हमारी,हम,हमार
167,बनी,बन,ब
168,जुड़ी,जुड,जुड़
169,होंगी,हो,हों
170,ख़रीदारी,खरीदारी,ख़रीदार
171,सभी,सब,सभ
172,बिछुड़ी,बिछुड,बिछुड़
173,उमड़ी,उमड,उमड़
174,किसकी,कौन,किसक
175,गड़बड़ी,गडबडी,गड़बड़
176,उतारेंगी,उतार,उतारें
177,बिगड़नी,बिगड,बिगड़
178,जगी,जग,ज
179,बनायी,बना,बनाय
180,चुनी,चुन,चु
181,हड़बड़ी,हडबडी,हड़बड़
182,मंज़ूरी,मंजूरी,मंज़ूर
183,लड़की,लडकी,लड़क
184,जोड़ी,जोडी,जोड़
185,कंपनी,कंपनी,कंप
186,Corrected,Corrected,Corrected
187,चाहती,चाह,चाह
188,रही,रह,रह
189,लापरवाही,लापरवाह,लापरवाह
190,मंजूरी,मंजूर,मंजूर
191,प्रभावी,प्रभाव,प्रभाव
192,अारोपी,अारोप,अारोप
193,मंजूरी,मंजूर,मंजूर
194,यही,यह,यह
195,विरोधी,विरोध,विरोध
196,करती,कर,कर
197,जानकारी,जानकार,जानकार
198,करीबी,करीब,करीब
199,हड़ताली,हड़ताल,हड़ताल
200,चुनावी,चुनाव,चुनाव
201,पाबंदी,पाबंद,पाबंद
202,तेजी,तेज,तेज
203,अपराधी,अपराध,अपराध
204,जाएगी,जा,जा
205,बहुमुखी,बहुमुख,बहुमुख
206,रही,रह,रह
207,प्रौद्योगिकी,प्रौद्योगिक,प्रौद्योगिक
208,चिल्लाती,चिल्ला,चिल्ला
209,कंजूसी,कंजूस,कंजूस
210,तकनीकी,तकनीक,तकनीक
211,मौजूदगी,मौजूद,मौजूद
212,अाएगी,अा,अा
213,पाबंदी,पाबंद,पाबंद
214,हड़ताली,हड़ताल,हड़ताल
215,दिखती,दिख,दिख
216,मिलती,मिल,मिल
217,पाएगी,पा,पा
218,खोली,खोल,खोल
219,आँकी,आँक,आँक
220,होनी,हो,हो
221,रखेगी,रख,रख
222,पड़ती,पड़,पड़
223,सुनाएगी,सुना,सुना
224,भरी,भर,भर
225,मिली,मिल,मिल
226,रुकी,रुक,रुक
227,पहुंची,पहुंच,पहुंच
228,बनानी,बना,बना
229,उठती,उठ,उठ
230,निकाली,निकाल,निकाल
231,लगती,लग,लग
232,लानी,ला,ला
233,देखी,देख,देख
234,खिसकती,खिसक,खिसक
235,छपी,छप,छप
236,यही,यह,यह
237,दर्शाती,दर्शा,दर्शा
238,छिपी,छिप,छिप
239,बरतनी,बरत,बरत
240,बनती,बन,बन
241,कहती,कह,कह
242,देती,दे,दे
243,जाएगी,जा,जा
244,डाली,डाल,डाल
245,भेजी,भेज,भेज
246,उछाली,उछाल,उछाल
247,चलती,चल,चल
248,चुकी,चुक,चुक
249,कही,कह,कह
250,लाएगी,ला,ला
251,बढ़ेगी,बढ़,बढ़
252,बजती,बज,बज
253,बनाएगी,बना,बना
254,रही,रह,रह
255,खुलती,खुल,खुल
256,देनी,दे,दे
257,सटी,सट,सट
258,होती,हो,हो
259,वही,वह,वह
260,छोड़ी,छोड़,छोड़
261,करनी,कर,कर
262,जाएंगी,जा,जा
263,बँधी,बँध,बँध
264,लेनी,ले,ले
265,जुड़ी,जुड़,जुड़
266,होगी,हो,हो
267,रखी,रख,रख
268,सकेगी,सक,सक
269,जानती,जान,जान
270,बढ़ती,बढ़,बढ़
271,बढ़ी,बढ़,बढ़
272,करती,कर,कर
273,सकती,सक,सक
274,चली,चल,चल
275,रहेगी,रह,रह
276,सकी,सक,सक
277,जाती,जा,जा
278,टिकी,टिक,टिक
279,सकूंगी,सक,सक
280,चलानी,चला,चला
281,पड़ी,पड़,पड़
282,कराएगी,करा,करा
283,दिलाएगी,दिला,दिला
284,गुजारनी,गुजार,गुजार
285,हटती,हट,हट
286,बदलेगी,बदल,बदल
287,करेगी,कर,कर
288,रची,रच,रच
289,गुजरती,गुजर,गुजर
290,जानी,जा,जा
291,मची,मच,मच
292,चलेगी,चल,चल
293,रहती,रह,रह
294,मिलेगी,मिल,मिल
295,चाहती,चाह,चाह
296,पड़ेगी,पड़,पड़
297,सौंपी,सौंप,सौंप
298,भड़की,भड़क,भड़क
299,निखरी,निखर,निखर
300,पहुंचेगी,पहुंच,पहुंच
301,निकली,निकल,निकल
302,पहाड़ी,पहाड़,पहाड़
303,गिरी,गिर,गिर
304,मिलती,मिल,मिल
305,पाएगी,पा,पा
306,खोली,खोल,खोल
307,जुटी,जुट,जुट
308,खटकती,खटक,खटक
309,घटी,घट,घट
310,पहुंचनी,पहुंच,पहुंच
311,निभानी,निभा,निभा
312,उठाएगी,उठा,उठा
313,आँकी,आँक,आँक
314,पिलाती,पिला,पिला
315,चुकानी,चुका,चुका
316,जलती,जल,जल
317,खींचती,खींच,खींच
318,होनी,हो,हो
319,छेड़ी,छेड़,छेड़
320,बनेगी,बन,बन
321,निभाएगी,निभा,निभा
322,बुलानी,बुला,बुला
323,रखेगी,रख,रख
324,पड़ती,पड़,पड़
325,लगाएंगी,लगा,लगा
326,भरी,भर,भर
327,कसी,कस,कस
328,मिली,मिल,मिल
329,माननी,मान,मान
330,कतराती,कतरा,कतरा
331,रुकी,रुक,रुक
332,पहुंची,पहुंच,पहुंच
333,बताती,बता,बता
334,डालेगी,डाल,डाल
335,उतरती,उतर,उतर
336,सुधारनी,सुधार,सुधार
337,ठहरी,ठहर,ठहर
338,बनानी,बना,बना
339,उठती,उठ,उठ
340,निकाली,निकाल,निकाल
341,रहनी,रह,रह
342,लगती,लग,लग
343,जमी,जम,जम
344,आएगी,आ,आ
345,पनपती,पनप,पनप
346,लानी,ला,ला
347,ढकी,ढक,ढक
348,सधी,सध,सध
349,देखी,देख,देख
350,उछलती,उछल,उछल
351,गिरती,गिर,गिर
352,करूंगी,कर,कर
353,सूखी,सूख,सूख
354,चाही,चाह,चाह
355,उतराती,उतरा,उतरा
356,खिसकती,खिसक,खिसक
357,छपी,छप,छप
358,इसी,इस,इस
359,लगेगी,लग,लग
360,रुकेगी,रुक,रुक
361,यही,यह,यह
362,चूकेगी,चूक,चूक
363,निकलती,निकल,निकल
364,अपनाती,अपना,अपना
365,झुकी,झुक,झुक
366,पहुँचती,पहुँच,पहुँच
367,समझी,समझ,समझ
368,बनाएंगी,बना,बना
369,करवाएगी,करवा,करवा
370,बरतनी,बरत,बरत
371,खरीदनी,खरीद,खरीद
372,भरनी,भर,भर
373,थकती,थक,थक
374,मांगनी,मांग,मांग
375,सोनी,सो,सो
376,देखेगी,देख,देख
377,बनती,बन,बन
378,बहती,बह,बह
379,चमचमाती,चमचमा,चमचमा
380,मिलूंगी,मिल,मिल
381,मनाएगी,मना,मना
382,कहती,कह,कह
383,खाऊंगी,खा,खा
384,निभाती,निभा,निभा
385,देती,दे,दे
386,कटी,कट,कट
387,बेची,बेच,बेच
388,बेचनी,बेच,बेच
389,जाएगी,जा,जा
390,छापी,छाप,छाप
391,डाली,डाल,डाल
392,लड़ूंगी,लड़,लड़
393,लटकती,लटक,लटक
394,परोसी,परोस,परोस
395,लौटी,लौट,लौट
396,बुलाती,बुला,बुला
397,सुधरी,सुधर,सुधर
398,आंकी,आंक,आंक
399,सुझाएगी,सुझा,सुझा
400,पहुँची,पहुँच,पहुँच
401,भेजी,भेज,भेज
402,मानती,मान,मान
403,थमी,थम,थम
404,चलती,चल,चल
405,चुकी,चुक,चुक
406,घिरी,घिर,घिर
407,कही,कह,कह
408,लाएगी,ला,ला
409,पाती,पा,पा
410,पहनती,पहन,पहन
411,दोहराती,दोहरा,दोहरा
412,पाऊंगी,पा,पा
413,चलाती,चला,चला
414,बढ़ेगी,बढ़,बढ़
415,उठी,उठ,उठ
416,घटती,घट,घट
417,ढंकी,ढंक,ढंक
418,आएंगी,आ,आ
419,मारती,मार,मार
420,दहली,दहल,दहल
421,बजती,बज,बज
422,खरीदी,खरीद,खरीद
423,बनाएगी,बना,बना
424,लगानी,लगा,लगा
425,उतारी,उतार,उतार
426,खासी,खास,खास
427,सिक्खी,सिक्ख,सिक्ख
428,लगनी,लग,लग
429,रही,रह,रह
430,उतरी,उतर,उतर
431,देनी,दे,दे
432,सौंपेगी,सौंप,सौंप
433,बची,बच,बच
434,सुननी,सुन,सुन
435,कहेगी,कह,कह
436,खींची,खींच,खींच
437,बदलती,बदल,बदल
438,होती,हो,हो
439,उड़ती,उड़,उड़
440,खोजी,खोज,खोज
441,छोड़ेगी,छोड़,छोड़
442,लौटेगी,लौट,लौट
443,वही,वह,वह
444,पहुँचेगी,पहुँच,पहुँच
445,लाती,ला,ला
446,करानी,करा,करा
447,छोड़ी,छोड़,छोड़
448,करनी,कर,कर
449,बचती,बच,बच
450,पलटी,पलट,पलट
451,जाएंगी,जा,जा
452,जोड़ती,जोड़,जोड़
453,रखनी,रख,रख
454,कूदी,कूद,कूद
455,लेनी,ले,ले
456,लगाती,लगा,लगा
457,निकालती,निकाल,निकाल
458,बसी,बस,बस
459,उठाती,उठा,उठा
460,लुभाती,लुभा,लुभा
461,फैलती,फैल,फैल
462,जुड़ी,जुड़,जुड़
463,उठानी,उठा,उठा
464,ठहराती,ठहरा,ठहरा
465,करवाती,करवा,करवा
466,सजी,सज,सज
467,बैठी,बैठ,बैठ
468,झेलनी,झेल,झेल
469,मापी,माप,माप
470,दौड़ती,दौड़,दौड़
471,उकेरी,उकेर,उकेर
472,संभाली,संभाल,संभाल
473,होगी,हो,हो
474,टोही,टोह,टोह
475,बचेगी,बच,बच
476,बनाती,बना,बना
477,खुली,खुल,खुल
478,खेलती,खेल,खेल
479,दिखाती,दिखा,दिखा
480,खेली,खेल,खेल
481,छुपी,छुप,छुप
482,उभरती,उभर,उभर
483,जागती,जाग,जाग
484,खरीदेगी,खरीद,खरीद
485,अपनाएगी,अपना,अपना
486,समझती,समझ,समझ
487,धमकी,धमक,धमक
488,रखी,रख,रख
489,सुधारी,सुधार,सुधार
490,सकेगी,सक,सक
491,सुधरेगी,सुधर,सुधर
492,जानती,जान,जान
493,हारी,हार,हार
494,चाटनी,चाट,चाट
495,अपनानी,अपना,अपना
496,खिली,खिल,खिल
497,बढ़ती,बढ़,बढ़
498,रहूंगी,रह,रह
499,बढ़ी,बढ़,बढ़
500,करती,कर,कर
501,आती,आ,आ
502,सकती,सक,सक
503,चली,चल,चल
504,रहेगी,रह,रह
505,सकी,सक,सक
506,बोलती,बोल,बोल
507,लिखी,लिख,लिख
508,बैठती,बैठ,बैठ
509,जाती,जा,जा
510,टिकी,टिक,टिक
511,गुजारी,गुजार,गुजार
512,कराती,करा,करा
513,उपजी,उपज,उपज
514,मारी,मार,मार
515,धरी,धर,धर
516,चलानी,चला,चला
517,लूटी,लूट,लूट
518,रुकती,रुक,रुक
519,भेजती,भेज,भेज
520,पड़ी,पड़,पड़
521,कराएगी,करा,करा
522,चमकती,चमक,चमक
523,पंहुची,पंहुच,पंहुच
524,तलाशी,तलाश,तलाश
525,चिल्लाती,चिल्ला,चिल्ला
526,घुसी,घुस,घुस
527,पाएंगी,पा,पा
528,बदली,बदल,बदल
529,खानी,खा,खा
530,बरसानी,बरसा,बरसा
531,करेगी,कर,कर
532,रची,रच,रच
533,बजी,बज,बज
534,गुजरती,गुजर,गुजर
535,मिलनी,मिल,मिल
536,छिड़ी,छिड़,छिड़
537,उभरेगी,उभर,उभर
538,जानी,जा,जा
539,मची,मच,मच
540,भुनाएगी,भुना,भुना
541,सूझी,सूझ,सूझ
542,लगाएगी,लगा,लगा
543,हटी,हट,हट
544,आनी,आ,आ
545,चलेगी,चल,चल
546,रहती,रह,रह
547,बेचती,बेच,बेच
548,लेती,ले,ले
549,मिलेगी,मिल,मिल
550,चाहती,चाह,चाह
551,पड़ेगी,पड़,पड़
552,दबी,दब,दब
553,सौंपी,सौंप,सौंप
